year,week,value,disease
2018,1,72.1,Influenza
2018,2,69,Influenza
2018,3,59.6,Influenza
2018,4,43.6,Influenza
2018,5,35.3,Influenza
2018,6,31.7,Influenza
2018,7,30.7,Influenza
2018,8,18.8,Influenza
2018,9,15.1,Influenza
2018,10,11.7,Influenza
2018,11,9.8,Influenza
2018,12,8,Influenza
2018,13,7.2,Influenza
2018,14,6.2,Influenza
2018,15,6.8,Influenza
2018,16,5.8,Influenza
2018,17,7.6,Influenza
2018,18,6.2,Influenza
2018,19,6.1,Influenza
2018,20,6,Influenza
2018,21,5.6,Influenza
2018,22,5.6,Influenza
2018,23,5.1,Influenza
2018,24,4.6,Influenza
2018,25,4.3,Influenza
2018,26,4.1,Influenza
2018,27,4.5,Influenza
2018,28,4.2,Influenza
2018,29,5.2,Influenza
2018,30,4.5,Influenza
2018,31,4.5,Influenza
2018,32,2.7,Influenza
2018,33,3.2,Influenza
2018,34,4,Influenza
2018,35,3.7,Influenza
2018,36,4,Influenza
2018,37,4.3,Influenza
2018,38,4.4,Influenza
2018,39,3.9,Influenza
2018,40,3.5,Influenza
2018,41,3.7,Influenza
2018,42,3.8,Influenza
2018,43,4.9,Influenza
2018,44,5.7,Influenza
2018,45,7.8,Influenza
2018,46,10.1,Influenza
2018,47,13.2,Influenza
2018,48,19.2,Influenza
2018,49,34,Influenza
2018,50,48.7,Influenza
2018,51,71.9,Influenza
2018,52,73.3,Influenza
2019,1,53.1,Influenza
2019,2,33.6,Influenza
2019,3,23,Influenza
2019,4,15.3,Influenza
2019,5,11.3,Influenza
2019,6,10.2,Influenza
2019,7,8,Influenza
2019,8,8.6,Influenza
2019,9,8.3,Influenza
2019,10,9.1,Influenza
2019,11,12.1,Influenza
2019,12,20.3,Influenza
2019,13,27.2,Influenza
2019,14,32.2,Influenza
2019,15,42.1,Influenza
2019,16,44.2,Influenza
2019,17,37.3,Influenza
2019,18,23.9,Influenza
2019,19,15.1,Influenza
2019,20,11.3,Influenza
2019,21,7,Influenza
2019,22,5.5,Influenza
2019,23,5.1,Influenza
2019,24,4.7,Influenza
2019,25,4.4,Influenza
2019,26,4.1,Influenza
2019,27,4.7,Influenza
2019,28,4.1,Influenza
2019,29,4.4,Influenza
2019,30,4.3,Influenza
2019,31,4,Influenza
2019,32,3.3,Influenza
2019,33,2.9,Influenza
2019,34,3.3,Influenza
2019,35,3.5,Influenza
2019,36,3.4,Influenza
2019,37,3.6,Influenza
2019,38,3.7,Influenza
2019,39,3.8,Influenza
2019,40,3.9,Influenza
2019,41,4.2,Influenza
2019,42,4.6,Influenza
2019,43,4.5,Influenza
2019,44,5.8,Influenza
2019,45,7,Influenza
2019,46,8.2,Influenza
2019,47,9.7,Influenza
2019,48,12.7,Influenza
2019,49,19.5,Influenza
2019,50,28.5,Influenza
2019,51,37.8,Influenza
2019,52,49.8,Influenza
2020,1,49.1,Influenza
2020,2,47.8,Influenza
2020,3,42.4,Influenza
2020,4,40.9,Influenza
2020,5,28,Influenza
2020,6,16.4,Influenza
2020,7,11.6,Influenza
2020,8,8.5,Influenza
2020,9,6.3,Influenza
2020,10,3.9,Influenza
2020,11,2.9,Influenza
2020,12,3.2,Influenza
2020,13,2.8,Influenza
2020,14,2.5,Influenza
2020,15,2.7,Influenza
2020,16,2.3,Influenza
2020,17,2.4,Influenza
2020,18,1.7,Influenza
2020,19,2.1,Influenza
2020,20,2.3,Influenza
2020,21,2.2,Influenza
2020,22,2.4,Influenza
2020,23,2.4,Influenza
2020,24,2,Influenza
2020,25,2,Influenza
2020,26,1.7,Influenza
2020,27,1.8,Influenza
2020,28,1.9,Influenza
2020,29,1.8,Influenza
2020,30,2.3,Influenza
2020,31,1.8,Influenza
2020,32,2.1,Influenza
2020,33,1.8,Influenza
2020,34,2.1,Influenza
2020,35,2,Influenza
2020,36,1.7,Influenza
2020,37,1.4,Influenza
2020,38,1.5,Influenza
2020,39,1.3,Influenza
2020,40,1.4,Influenza
2020,41,1.2,Influenza
2020,42,1.2,Influenza
2020,43,1.7,Influenza
2020,44,1.9,Influenza
2020,45,3.1,Influenza
2020,46,3.3,Influenza
2020,47,3.2,Influenza
2020,48,2.6,Influenza
2020,49,2.8,Influenza
2020,50,2.8,Influenza
2020,51,2.8,Influenza
2020,52,2.5,Influenza
