year,week,value,disease
2018,1,16,Streptococcus Pneumoniae
2018,2,11,Streptococcus Pneumoniae
2018,3,9,Streptococcus Pneumoniae
2018,4,12,Streptococcus Pneumoniae
2018,5,9,Streptococcus Pneumoniae
2018,6,8,Streptococcus Pneumoniae
2018,7,20,Streptococcus Pneumoniae
2018,8,11,Streptococcus Pneumoniae
2018,9,7,Streptococcus Pneumoniae
2018,10,7,Streptococcus Pneumoniae
2018,11,15,Streptococcus Pneumoniae
2018,12,7,Streptococcus Pneumoniae
2018,13,9,Streptococcus Pneumoniae
2018,14,10,Streptococcus Pneumoniae
2018,15,17,Streptococcus Pneumoniae
2018,16,12,Streptococcus Pneumoniae
2018,17,14,Streptococcus Pneumoniae
2018,18,5,Streptococcus Pneumoniae
2018,19,16,Streptococcus Pneumoniae
2018,20,12,Streptococcus Pneumoniae
2018,21,13,Streptococcus Pneumoniae
2018,22,12,Streptococcus Pneumoniae
2018,23,8,Streptococcus Pneumoniae
2018,24,16,Streptococcus Pneumoniae
2018,25,11,Streptococcus Pneumoniae
2018,26,8,Streptococcus Pneumoniae
2018,27,6,Streptococcus Pneumoniae
2018,28,8,Streptococcus Pneumoniae
2018,29,8,Streptococcus Pneumoniae
2018,30,8,Streptococcus Pneumoniae
2018,31,5,Streptococcus Pneumoniae
2018,32,7,Streptococcus Pneumoniae
2018,33,4,Streptococcus Pneumoniae
2018,34,3,Streptococcus Pneumoniae
2018,35,9,Streptococcus Pneumoniae
2018,36,5,Streptococcus Pneumoniae
2018,37,5,Streptococcus Pneumoniae
2018,38,5,Streptococcus Pneumoniae
2018,39,7,Streptococcus Pneumoniae
2018,40,8,Streptococcus Pneumoniae
2018,41,7,Streptococcus Pneumoniae
2018,42,12,Streptococcus Pneumoniae
2018,43,10,Streptococcus Pneumoniae
2018,44,11,Streptococcus Pneumoniae
2018,45,15,Streptococcus Pneumoniae
2018,46,13,Streptococcus Pneumoniae
2018,47,12,Streptococcus Pneumoniae
2018,48,13,Streptococcus Pneumoniae
2018,49,12,Streptococcus Pneumoniae
2018,50,7,Streptococcus Pneumoniae
2018,51,17,Streptococcus Pneumoniae
2018,52,15,Streptococcus Pneumoniae
2019,1,24,Streptococcus Pneumoniae
2019,2,37,Streptococcus Pneumoniae
2019,3,23,Streptococcus Pneumoniae
2019,4,24,Streptococcus Pneumoniae
2019,5,21,Streptococcus Pneumoniae
2019,6,16,Streptococcus Pneumoniae
2019,7,16,Streptococcus Pneumoniae
2019,8,19,Streptococcus Pneumoniae
2019,9,28,Streptococcus Pneumoniae
2019,10,8,Streptococcus Pneumoniae
2019,11,16,Streptococcus Pneumoniae
2019,12,7,Streptococcus Pneumoniae
2019,13,9,Streptococcus Pneumoniae
2019,14,12,Streptococcus Pneumoniae
2019,15,18,Streptococcus Pneumoniae
