OrderID,OrderDate,Gender,AgeGroup,Channel,ShipDate,ItemCode,MapCode,Quantity,Revenue,Cost,Category,Item Type,Region,Country,Code2,Code3,Latitude,Longitude
100013196,2020-03-20,Female,30s,Online,2020-03-22,D10002,34,46,35576.6,29647.155,Office,Office Supplies,Asia,Taiwan,TW,TWN,23.69781,120.960515
100061261,2018-06-20,Female,50s,Offline,,D10001,5,69,10222.8,8518.99,Home,Household,Asia,China,CN,CHN,35.86166,104.195397
100071990,2020-06-20,Female,20s,Online,2020-06-22,D10001,3,53,31731.5,26442.93,Home,Household,Europe,Belgium,BE,BEL,50.503887,4.469936
100074136,2019-04-12,Male,40s,Online,2019-04-15,C10003,31,84,30739.6,19720.18,Foods,Vegetables,Asia,South Korea,KR,KOR,35.907757,127.766922
100103318,2018-03-27,Male,30s,Offline,,C10004,7,56,62652.9,19689.517,Foods,Fruits,America,Cuba,CU,CUB,21.3,-80.0
100114476,2020-09-19,Female,50s,Online,2020-09-24,C10002,40,79,37321.3,31101.109,Foods,Beverages,Asia,Vietnam,VN,VNM,21.0241667,105.8411111
100118768,2019-09-16,Male,20s,Offline,,C10002,36,79,37796.2,17251.035,Foods,Beverages,Africa,Togo,TG,TGO,8.0,1.1
100171124,2018-07-29,Female,30s,Online,2018-08-02,A10001,1,27,15148.1,12623.452,Beauty & Health,Cosmetics,Oceania,Australia,AU,AUS,-35.3069444,149.1242972
100220048,2020-06-24,Male,50s,Offline,2020-06-25,C10003,32,64,37029.8,15872.407,Foods,Vegetables,Europe,Spain,ES,ESP,40.463667,-3.74922
100262534,2020-10-13,Female,40s,Online,2020-10-16,A10002,5,43,30023.2,25019.311,Beauty & Health,Personal Care,Asia,China,CN,CHN,35.86166,104.195397
100278413,2018-06-22,Male,40s,Offline,,B10001,32,35,41290.4,13890.442,Clothes,Clothes,Europe,Spain,ES,ESP,40.463667,-3.74922
100280988,2018-10-20,Female,40s,Offline,,C10002,22,82,22925.3,19104.388,Foods,Beverages,Africa,Morocco,MA,MAR,31.791702,-7.09262
100319612,2017-06-13,Male,20s,Online,2017-06-19,C10002,39,26,17854.3,14878.569,Foods,Beverages,America,United States of America,US,USA,37.09024,-95.712891
100344932,2019-05-14,Female,30s,Online,2019-05-24,A10002,28,77,37970.6,18840.765,Beauty & Health,Personal Care,Europe,Russia,RU,RUS,55.755786,37.617633
100352656,2020-02-22,Male,40s,Online,2020-02-28,C10002,37,32,31446.9,18332.538,Foods,Beverages,Europe,Turkey,TR,TUR,38.963745,35.243322
100361669,2017-02-17,Male,30s,Offline,,C10004,5,59,10397.7,8664.742,Foods,Fruits,Asia,China,CN,CHN,35.86166,104.195397
100390851,2018-12-07,Male,30s,Online,2018-12-12,C10001,33,77,30551.5,14877.139,Foods,Snacks,Europe,Sweden,SE,SWE,59.6167,16.55
100402438,2020-04-16,Male,60s,Online,2020-04-17,C10004,4,57,30549.8,13991.972,Foods,Fruits,America,Canada,CA,CAN,45.423494,-75.697933
100500714,2018-12-27,Male,20s,Offline,,D10001,29,51,44157.2,33310.462,Home,Household,Africa,Senegal,SN,SEN,14.497401,-14.452362
100514018,2017-07-19,Female,40s,Offline,,B10001,39,63,13534.9,11279.121,Clothes,Clothes,America,United States of America,US,USA,37.09024,-95.712891
100551784,2020-02-04,Female,40s,Online,2020-02-12,C10004,4,47,31825.6,26521.312,Foods,Fruits,America,Canada,CA,CAN,45.423494,-75.697933
100552213,2019-03-09,Male,30s,Online,2019-03-15,A10001,29,57,30058.3,24460.17,Beauty & Health,Cosmetics,Africa,Senegal,SN,SEN,14.497401,-14.452362
100588691,2018-03-21,Male,30s,Offline,,C10001,17,52,13138.9,10949.088,Foods,Snacks,Asia,Japan,JP,JPN,36.204824,138.252924
100610578,2018-02-15,Female,50s,Online,2018-02-19,B10001,39,28,20490.1,17075.089,Clothes,Clothes,America,United States of America,US,USA,37.09024,-95.712891
100629460,2017-04-11,Male,30s,Offline,2017-04-14,C10004,40,49,83559.5,18310.149,Foods,Fruits,Asia,Vietnam,VN,VNM,21.0241667,105.8411111
100682246,2019-08-24,Female,40s,Online,2019-08-28,A10001,41,62,39509.4,12881.732,Beauty & Health,Cosmetics,Asia,Yemen,YE,YEM,15.0,48.0
100697267,2019-07-07,Male,40s,Offline,,C10003,5,88,31086.1,25905.092,Foods,Vegetables,Asia,China,CN,CHN,35.86166,104.195397
100720441,2018-05-31,Male,60s,Online,2018-06-03,A10001,39,42,13632.0,11359.96,Beauty & Health,Cosmetics,America,United States of America,US,USA,37.09024,-95.712891
100750482,2018-10-02,Male,30s,Offline,,B10001,33,66,19625.3,17276.581,Clothes,Clothes,Europe,Sweden,SE,SWE,59.6167,16.55
100779664,2017-01-12,Male,60s,Offline,,D10002,34,61,32186.0,14840.112,Office,Office Supplies,Asia,Taiwan,TW,TWN,23.69781,120.960515
100782668,2019-12-16,Male,20s,Offline,,C10003,2,63,30763.2,13525.909,Foods,Vegetables,Europe,Austria,AT,AUT,48.2092062,16.3727778
100830304,2018-08-24,Female,40s,Online,2018-08-25,A10001,3,47,24346.6,15278.274,Beauty & Health,Cosmetics,Europe,Belgium,BE,BEL,50.503887,4.469936
100887811,2017-06-29,Male,40s,Offline,2017-06-29,C10003,39,56,49971.5,19082.65,Foods,Vegetables,America,United States of America,US,USA,37.09024,-95.712891
100924289,2020-06-17,Female,40s,Online,2020-06-18,B10001,30,60,30671.8,11637.736,Clothes,Clothes,Asia,Singapore,SG,SGP,1.2894066,103.8499619
100940167,2018-04-30,Female,20s,Online,2018-05-05,C10004,39,88,18472.3,16756.723,Foods,Fruits,America,United States of America,US,USA,37.09024,-95.712891
100981795,2019-09-30,Female,20s,Offline,,B10001,37,90,30523.7,25436.44,Clothes,Clothes,Europe,Turkey,TR,TUR,38.963745,35.243322
101011836,2018-02-10,Male,30s,Online,2018-02-12,B10001,35,74,23470.4,21768.642,Clothes,Clothes,Asia,Thailand,THA,TH,13.75,100.5167
101018702,2017-05-30,Male,30s,Offline,,C10003,36,70,39865.8,13801.979,Foods,Vegetables,Africa,Togo,TG,TGO,8.0,1.1
101050031,2018-03-25,Female,40s,Online,2018-03-28,A10002,17,38,16771.6,13976.328,Beauty & Health,Personal Care,Asia,Japan,JP,JPN,36.204824,138.252924
101135003,2017-10-14,Female,20s,Offline,,C10002,29,51,18820.2,14602.872,Foods,Beverages,Africa,Senegal,SN,SEN,14.497401,-14.452362
101148736,2018-09-17,Female,50s,Offline,2018-09-19,C10005,4,95,17966.5,14762.292,Foods,Baby Food,America,Canada,CA,CAN,45.423494,-75.697933
101156890,2019-11-10,Female,60s,Online,2019-11-17,C10002,34,74,31113.7,19581.828,Foods,Beverages,Asia,Taiwan,TW,TWN,23.69781,120.960515
101159894,2018-06-02,Male,50s,Online,2018-06-03,D10002,5,35,13347.7,11123.082,Office,Office Supplies,Asia,China,CN,CHN,35.86166,104.195397
101213538,2020-02-04,Male,50s,Online,2020-02-04,C10003,23,98,39459.7,16691.238,Foods,Vegetables,Asia,Nepal,NP,NPL,28.394857,84.124008
101218259,2019-04-06,Female,40s,Online,2019-04-08,C10007,3,55,30887.2,25739.306,Foods,Meat,Europe,Belgium,BE,BEL,50.503887,4.469936
101269757,2018-06-19,Female,30s,Offline,,B10001,36,95,14809.6,11753.358,Clothes,Clothes,Africa,Togo,TG,TGO,8.0,1.1
101271903,2018-09-12,Female,20s,Online,2018-09-16,B10001,5,45,32321.0,26934.161,Clothes,Clothes,Asia,China,CN,CHN,35.86166,104.195397
101277911,2018-07-09,Female,30s,Online,2018-07-09,B10001,20,42,73567.1,10143.504,Clothes,Clothes,America,Mexico,MX,MEX,23.634501,-102.552784
101279628,2019-06-14,Female,30s,Online,2019-06-18,C10002,39,54,31780.2,26483.509,Foods,Beverages,America,United States of America,US,USA,37.09024,-95.712891
101291215,2019-11-25,Female,50s,Offline,2019-11-26,C10002,39,96,44877.3,18184.508,Foods,Beverages,America,United States of America,US,USA,37.09024,-95.712891
101341426,2017-07-30,Female,50s,Online,2017-08-02,D10001,29,89,13239.3,11032.725,Home,Household,Africa,Senegal,SN,SEN,14.497401,-14.452362
101379621,2018-05-14,Male,60s,Online,2018-05-20,C10001,21,62,35063.3,24460.17,Foods,Snacks,Asia,Mongolia,MN,MNG,47.0077031,103.7914154
101384770,2019-09-14,Male,30s,Online,2019-09-17,B10001,25,54,39624.6,15714.759,Clothes,Clothes,Europe,Norway,NO,NOR,59.9138204,10.7387413
101390779,2018-09-28,Female,20s,Offline,,A10001,32,52,44121.6,18352.602,Beauty & Health,Cosmetics,Europe,Spain,ES,ESP,40.463667,-3.74922
101440560,2020-02-20,Male,50s,Offline,,D10001,37,196,38409.6,32008.023,Home,Household,Europe,Turkey,TR,TUR,38.963745,35.243322
101456010,2020-08-13,Male,30s,Online,2020-08-19,C10003,20,56,34785.3,20213.906,Foods,Vegetables,America,Mexico,MX,MEX,23.634501,-102.552784
101456439,2017-09-15,Male,30s,Offline,,A10002,2,100,31134.7,24944.796,Beauty & Health,Personal Care,Europe,Austria,AT,AUT,48.2092062,16.3727778
101489484,2018-10-05,Female,40s,Offline,,A10001,41,31,17814.8,16921.662,Beauty & Health,Cosmetics,Asia,Yemen,YE,YEM,15.0,48.0
101507937,2018-01-22,Male,60s,Offline,2018-01-25,B10001,39,55,19823.6,19576.652,Clothes,Clothes,America,United States of America,US,USA,37.09024,-95.712891
101599347,2018-02-08,Female,30s,Online,2018-02-13,C10001,17,54,36428.7,18306.702,Foods,Snacks,Asia,Japan,JP,JPN,36.204824,138.252924
101675307,2020-02-24,Male,30s,Online,2020-02-24,C10004,23,36,39509.3,15177.807,Foods,Fruits,Asia,Nepal,NP,NPL,28.394857,84.124008
101700198,2020-11-29,Female,40s,Offline,2020-12-01,D10001,9,80,38367.3,18411.67,Home,Household,Africa,Egypt,EG,EGY,26.820553,30.802498
101704061,2020-06-27,Female,40s,Offline,2020-06-30,A10002,39,85,31661.2,19879.813,Beauty & Health,Personal Care,America,United States of America,US,USA,37.09024,-95.712891
101709210,2018-06-04,Male,20s,Online,2018-06-06,B10001,4,42,14524.8,12103.981,Clothes,Clothes,America,Canada,CA,CAN,45.423494,-75.697933
101744401,2020-01-30,Male,30s,Offline,,A10001,32,97,38985.1,16843.542,Beauty & Health,Cosmetics,Europe,Spain,ES,ESP,40.463667,-3.74922
101757276,2020-03-24,Male,40s,Offline,2020-03-27,C10007,39,89,36493.9,14543.965,Foods,Meat,America,United States of America,US,USA,37.09024,-95.712891
101770150,2018-07-16,Male,30s,Offline,2018-07-24,D10002,5,49,17363.8,14469.852,Office,Office Supplies,Asia,China,CN,CHN,35.86166,104.195397
101771008,2020-10-23,Female,50s,Online,2020-10-26,A10001,15,29,39419.9,20341.524,Beauty & Health,Cosmetics,Europe,Iceland,IS,ISL,65.0,-18.0
