OrderID,OrderDate,Gender,AgeGroup,Channel,ShipDate,ItemCode,MapCode,Quantity,Revenue,Cost
100013196,2020-03-20,Female,30s,Online,2020-03-22,D10002,34,46,35576.6,29647.155
100061261,2018-06-20,Female,50s,Offline,,D10001,5,69,10222.8,8518.990
100071990,2020-06-20,Female,20s,Online,2020-06-22,D10001,3,53,31731.5,26442.930
100074136,2019-04-12,Male,40s,Online,2019-04-15,C10003,31,84,30739.6,19720.180
100103318,2018-03-27,Male,30s,Offline,,C10004,7,56,62652.9,19689.517
100114476,2020-09-19,Female,50s,Online,2020-09-24,C10002,40,79,37321.3,31101.109
100118768,2019-09-16,Male,20s,Offline,,C10002,36,79,37796.2,17251.035
100171124,2018-07-29,Female,30s,Online,2018-08-02,A10001,1,27,15148.1,12623.452
100220048,2020-06-24,Male,50s,Offline,2020-06-25,C10003,32,64,37029.8,15872.407
100262534,2020-10-13,Female,40s,Online,2020-10-16,A10002,5,43,30023.2,25019.311
100278413,2018-06-22,Male,40s,Offline,,B10001,32,35,41290.4,13890.442
100280988,2018-10-20,Female,40s,Offline,,C10002,22,82,22925.3,19104.388
100319612,2017-06-13,Male,20s,Online,2017-06-19,C10002,39,26,17854.3,14878.569
100344932,2019-05-14,Female,30s,Online,2019-05-24,A10002,28,77,37970.6,18840.765
100352656,2020-02-22,Male,40s,Online,2020-02-28,C10002,37,32,31446.9,18332.538
100361669,2017-02-17,Male,30s,Offline,,C10004,5,59,10397.7,8664.742
100390851,2018-12-07,Male,30s,Online,2018-12-12,C10001,33,77,30551.5,14877.139
100402438,2020-04-16,Male,60s,Online,2020-04-17,C10004,4,57,30549.8,13991.972
100500714,2018-12-27,Male,20s,Offline,,D10001,29,51,44157.2,33310.462
100514018,2017-07-19,Female,40s,Offline,,B10001,39,63,13534.9,11279.121
100551784,2020-02-04,Female,40s,Online,2020-02-12,C10004,4,47,31825.6,26521.312
100552213,2019-03-09,Male,30s,Online,2019-03-15,A10001,29,57,30058.3,24460.170
100588691,2018-03-21,Male,30s,Offline,,C10001,17,52,13138.9,10949.088
100610578,2018-02-15,Female,50s,Online,2018-02-19,B10001,39,28,20490.1,17075.089
100629460,2017-04-11,Male,30s,Offline,2017-04-14,C10004,40,49,83559.5,18310.149
100682246,2019-08-24,Female,40s,Online,2019-08-28,A10001,41,62,39509.4,12881.732
100697267,2019-07-07,Male,40s,Offline,,C10003,5,88,31086.1,25905.092
100720441,2018-05-31,Male,60s,Online,2018-06-03,A10001,39,42,13632.0,11359.960
100750482,2018-10-02,Male,30s,Offline,,B10001,33,66,19625.3,17276.581
100779664,2017-01-12,Male,60s,Offline,,D10002,34,61,32186.0,14840.112
100782668,2019-12-16,Male,20s,Offline,,C10003,2,63,30763.2,13525.909
100830304,2018-08-24,Female,40s,Online,2018-08-25,A10001,3,47,24346.6,15278.274
100887811,2017-06-29,Male,40s,Offline,2017-06-29,C10003,39,56,49971.5,19082.650
100924289,2020-06-17,Female,40s,Online,2020-06-18,B10001,30,60,30671.8,11637.736
100940167,2018-04-30,Female,20s,Online,2018-05-05,C10004,39,88,18472.3,16756.723
100981795,2019-09-30,Female,20s,Offline,,B10001,37,90,30523.7,25436.440
101011836,2018-02-10,Male,30s,Online,2018-02-12,B10001,35,74,23470.4,21768.642
101018702,2017-05-30,Male,30s,Offline,,C10003,36,70,39865.8,13801.979
101050031,2018-03-25,Female,40s,Online,2018-03-28,A10002,17,38,16771.6,13976.328
101135003,2017-10-14,Female,20s,Offline,,C10002,29,51,18820.2,14602.872
101148736,2018-09-17,Female,50s,Offline,2018-09-19,C10005,4,95,17966.5,14762.292
101156890,2019-11-10,Female,60s,Online,2019-11-17,C10002,34,74,31113.7,19581.828
101159894,2018-06-02,Male,50s,Online,2018-06-03,D10002,5,35,13347.7,11123.082
101213538,2020-02-04,Male,50s,Online,2020-02-04,C10003,23,98,39459.7,16691.238
101218259,2019-04-06,Female,40s,Online,2019-04-08,C10007,3,55,30887.2,25739.306
101269757,2018-06-19,Female,30s,Offline,,B10001,36,95,14809.6,11753.358
101271903,2018-09-12,Female,20s,Online,2018-09-16,B10001,5,45,32321.0,26934.161
101277911,2018-07-09,Female,30s,Online,2018-07-09,B10001,20,42,73567.1,10143.504
101279628,2019-06-14,Female,30s,Online,2019-06-18,C10002,39,54,31780.2,26483.509
101291215,2019-11-25,Female,50s,Offline,2019-11-26,C10002,39,96,44877.3,18184.508
101341426,2017-07-30,Female,50s,Online,2017-08-02,D10001,29,89,13239.3,11032.725
101379621,2018-05-14,Male,60s,Online,2018-05-20,C10001,21,62,35063.3,24460.170
101384770,2019-09-14,Male,30s,Online,2019-09-17,B10001,25,54,39624.6,15714.759
101390779,2018-09-28,Female,20s,Offline,,A10001,32,52,44121.6,18352.602
101440560,2020-02-20,Male,50s,Offline,,D10001,37,196,38409.6,32008.023
101456010,2020-08-13,Male,30s,Online,2020-08-19,C10003,20,56,34785.3,20213.906
101456439,2017-09-15,Male,30s,Offline,,A10002,2,100,31134.7,24944.796
101489484,2018-10-05,Female,40s,Offline,,A10001,41,31,17814.8,16921.662
101507937,2018-01-22,Male,60s,Offline,2018-01-25,B10001,39,55,19823.6,19576.652
101599347,2018-02-08,Female,30s,Online,2018-02-13,C10001,17,54,36428.7,18306.702
101675307,2020-02-24,Male,30s,Online,2020-02-24,C10004,23,36,39509.3,15177.807
101700198,2020-11-29,Female,40s,Offline,2020-12-01,D10001,9,80,38367.3,18411.670
101704061,2020-06-27,Female,40s,Offline,2020-06-30,A10002,39,85,31661.2,19879.813
101709210,2018-06-04,Male,20s,Online,2018-06-06,B10001,4,42,14524.8,12103.981
101744401,2020-01-30,Male,30s,Offline,,A10001,32,97,38985.1,16843.542
101757276,2020-03-24,Male,40s,Offline,2020-03-27,C10007,39,89,36493.9,14543.965
101770150,2018-07-16,Male,30s,Offline,2018-07-24,D10002,5,49,17363.8,14469.852
101771008,2020-10-23,Female,50s,Online,2020-10-26,A10001,15,29,39419.9,20341.524
101813066,2019-05-06,Female,20s,Offline,2019-05-07,C10005,5,65,34478.4,12585.144
101817786,2018-03-16,Female,30s,Online,2018-03-24,B10001,5,93,39021.6,18492.720
101819074,2019-06-27,Female,30s,Online,2019-06-29,B10001,11,97,13029.0,10857.532
101928937,2019-02-20,Male,50s,Offline,2019-02-24,D10001,15,61,16470.6,13725.488
101929366,2019-03-09,Female,60s,Online,2019-03-09,A10002,39,44,30220.1,12685.174
101949965,2019-08-07,Male,30s,Offline,,B10001,18,76,30204.3,16085.164
101969707,2018-09-19,Female,30s,Online,2018-09-23,C10002,27,57,16234.3,13528.606
101989448,2020-05-18,Male,30s,Online,2020-05-20,C10003,5,116,30122.9,25102.457
102038800,2019-05-26,Male,30s,Offline,,A10001,24,54,20256.9,17190.845
102067553,2020-12-07,Female,20s,Online,2020-12-10,C10003,23,59,32627.8,27189.812
102136218,2020-07-30,Female,30s,Offline,,C10005,39,56,39777.4,16282.166
102148663,2019-10-21,Female,30s,Online,2019-10-27,C10002,38,60,57052.5,30988.389
102164113,2018-12-23,Female,40s,Offline,,D10001,4,42,18985.1,15820.875
102175700,2018-08-16,Male,30s,Offline,2018-08-22,B10001,4,52,45897.6,38248.000
102203166,2017-12-13,Female,20s,Offline,,A10001,22,53,16372.0,13643.298
102258527,2019-03-18,Female,50s,Offline,,B10001,5,83,30474.1,19885.462
102267539,2018-11-21,Male,40s,Online,2018-11-23,A10001,4,83,14866.7,12388.906
102294147,2018-02-08,Female,60s,Online,2018-02-13,A10001,17,43,24504.3,23505.486
102368390,2019-01-15,Female,40s,Online,2019-01-17,C10003,39,39,39912.8,22748.774
102376115,2018-09-24,Male,40s,Offline,,D10001,10,55,51056.2,39218.222
102424609,2017-10-25,Female,30s,Online,2017-10-27,C10004,5,72,22566.8,11918.861
102459371,2018-01-11,Female,40s,Offline,2018-01-16,A10002,39,94,38873.3,11129.988
102478253,2019-05-12,Female,20s,Offline,,A10001,20,47,35473.9,23312.277
102517735,2020-12-25,Female,30s,Online,2021-01-02,A10001,14,98,37246.3,37193.518
102518165,2019-02-17,Male,20s,Online,2019-02-22,C10002,18,81,39785.7,18455.450
102541339,2018-03-09,Male,30s,Offline,,C10002,12,75,13943.8,11619.815
102545201,2017-07-26,Female,20s,Online,2017-07-30,D10001,38,61,13268.4,12687.389
102564084,2017-03-03,Female,30s,Online,2017-03-08,C10004,4,99,14139.3,11782.742
102577817,2018-08-09,Female,20s,Offline,,C10003,8,59,13488.1,9639.560
102588117,2019-01-19,Male,50s,Online,2019-01-22,B10001,9,78,39733.6,17207.864
102588975,2020-12-20,Male,20s,Online,2020-12-26,C10004,28,55,38257.7,31881.378
102625882,2020-12-08,Female,30s,Online,2020-12-11,C10001,37,67,36271.8,20152.348
102633607,2018-04-04,Female,50s,Offline,2018-04-07,C10002,5,89,18714.2,15595.167
102660214,2020-02-26,Male,60s,Offline,,A10002,28,36,33964.8,28303.966
102697551,2020-02-13,Male,30s,Offline,2020-02-14,C10002,32,57,34227.2,14868.472
102697980,2019-09-02,Female,20s,Online,2019-09-05,B10001,8,65,37905.4,14773.307
102708280,2018-01-04,Female,50s,Offline,,C10005,23,77,39893.9,19124.023
102722012,2017-04-01,Female,50s,Offline,,C10003,25,47,16616.7,13847.275
102726304,2020-12-02,Female,50s,Online,2020-12-06,B10001,29,56,30163.2,14288.496
102764499,2017-02-08,Female,20s,Offline,,C10007,39,57,18244.5,15203.771
102807843,2019-10-15,Male,20s,Offline,,D10002,4,91,39414.7,39263.479
102854621,2017-03-12,Male,30s,Online,2017-03-17,D10002,19,48,34569.6,23782.099
102894961,2017-02-10,Female,20s,Offline,2017-02-11,C10004,41,86,14171.6,11809.692
102902686,2020-09-23,Female,60s,Online,2020-09-24,C10006,28,79,30559.8,25466.502
102917706,2019-10-25,Female,50s,Online,2019-10-27,C10007,37,58,38191.6,38166.934
102919852,2020-01-28,Female,20s,Offline,,C10005,39,55,39674.9,17130.108
102939593,2019-02-23,Male,60s,Online,2019-02-26,A10001,23,89,37481.8,14013.731
102949893,2018-10-26,Male,50s,Offline,2018-10-28,B10001,26,93,19035.7,15863.064
102990663,2020-12-11,Male,60s,Offline,2020-12-12,C10002,15,39,31213.7,13269.880
103027570,2019-08-11,Female,20s,Online,2019-08-13,A10002,23,96,39406.3,22631.877
103079497,2020-07-10,Male,20s,Online,2020-07-13,C10003,16,93,30362.5,25302.051
103090226,2017-05-03,Female,40s,Offline,,C10006,17,65,16261.3,14121.905
103100526,2018-09-30,Male,30s,Online,2018-10-07,D10002,22,50,6008.5,5007.100
103110396,2020-12-22,Male,20s,Online,2020-12-29,C10002,35,47,31313.3,19119.325
103137433,2019-11-30,Male,20s,Offline,,B10001,12,83,36984.6,30820.484
103208673,2020-05-24,Male,30s,Online,2020-05-28,D10001,34,68,38032.7,31693.946
103227126,2018-12-31,Female,30s,Online,2019-01-07,A10002,4,63,13902.3,11585.228
103247296,2019-03-04,Female,30s,Online,2019-03-06,B10001,41,54,38909.2,14709.823
103249013,2019-05-29,Male,50s,Offline,,B10001,5,97,38799.8,32333.193
103273046,2020-04-15,Male,20s,Offline,2020-04-16,D10002,32,67,38298.2,14076.051
103289783,2018-09-22,Male,30s,Offline,,B10001,18,74,20605.5,17171.271
103331410,2020-02-24,Female,20s,Online,2020-03-04,C10003,33,35,36197.5,30164.563
103355443,2019-09-21,Male,30s,Online,2019-09-24,A10001,16,48,30787.1,25655.933
103357160,2019-11-08,Male,20s,Offline,2019-11-09,C10007,39,65,30682.5,25568.716
103431832,2020-04-06,Male,30s,Online,2020-04-08,C10002,5,94,38113.9,31761.621
103458440,2017-10-12,Male,30s,Online,2017-10-15,C10002,33,36,14185.1,3197.040
103467023,2019-01-02,Female,60s,Offline,2019-01-03,B10001,16,42,39620.4,14064.609
103482902,2019-05-11,Female,20s,Offline,,A10001,17,59,30252.6,14769.137
103513371,2020-05-04,Male,50s,Online,2020-05-08,C10002,19,56,31316.7,19206.641
103517663,2018-04-03,Female,30s,Offline,2018-04-06,C10004,30,38,26301.3,16506.336
103567016,2018-05-27,Male,60s,Online,2018-05-29,B10001,24,55,4441.1,3700.900
103576886,2019-08-30,Male,40s,Online,2019-09-01,C10001,41,98,39704.3,33086.893
103646409,2020-12-13,Male,40s,Offline,,D10002,21,84,30245.6,14314.547
103686749,2019-04-30,Female,50s,Online,2019-05-02,C10003,4,58,31748.3,13497.018
103796613,2019-07-30,Female,50s,Offline,,A10002,21,65,39441.7,32868.074
103845965,2017-11-25,Male,30s,Offline,,C10007,6,64,140.0,116.625
103881585,2020-06-15,Female,50s,Offline,,D10001,4,76,39644.3,38002.467
103906047,2020-09-27,Male,20s,Offline,,C10007,14,57,37951.3,31626.064
103906476,2019-01-27,Female,20s,Offline,2019-01-29,B10001,33,61,30139.1,13401.780
103913772,2017-01-29,Male,60s,Offline,,A10001,25,59,39454.7,24384.358
103930938,2017-05-10,Female,30s,Offline,,C10004,17,41,16271.8,13559.848
103963553,2019-04-29,Male,30s,Online,2019-05-03,B10001,4,85,12984.6,10820.541
103988444,2017-05-05,Male,20s,Online,2017-05-12,C10002,4,82,76813.9,47010.168
104016339,2019-07-13,Male,30s,Offline,2019-07-15,A10001,5,59,38133.0,31777.458
104059255,2018-03-20,Female,40s,Offline,,D10001,5,62,14871.6,12393.019
104067838,2020-11-05,Male,50s,Online,2020-11-11,C10001,30,70,36673.2,30560.989
104107749,2018-06-28,Male,30s,Online,2018-06-28,C10006,30,99,39650.7,38875.620
104126203,2019-09-26,Female,60s,Offline,,C10007,35,42,38302.0,37928.666
104176414,2019-10-11,Male,30s,Offline,,C10004,31,35,39027.8,15031.811
104214608,2017-12-11,Female,50s,Online,2017-12-15,A10001,41,56,19280.1,11834.050
104236066,2019-10-25,Female,20s,Offline,,B10001,5,61,38481.6,37437.164
104253661,2020-07-26,Female,30s,Online,2020-07-29,C10002,35,87,30163.2,11782.865
104341208,2017-10-22,Female,40s,Online,2017-10-22,B10001,39,59,14259.9,11883.235
104341638,2017-06-30,Female,40s,Offline,,B10001,1,88,55249.5,23461.380
104342925,2019-08-05,Male,50s,Offline,,B10001,33,61,38404.3,32003.617
104345929,2019-01-28,Male,50s,Offline,2019-02-01,D10001,1,81,31900.3,15325.619
104372107,2018-03-02,Male,20s,Offline,,C10002,24,47,20721.9,19087.546
104406011,2018-11-29,Female,50s,Online,2018-12-02,A10001,34,43,43059.8,24354.319
104410731,2018-10-22,Female,30s,Offline,,D10001,39,49,43631.3,16832.054
104412019,2020-07-21,Female,50s,Offline,2020-07-27,C10004,28,92,38791.8,13778.844
